Month,ZipCode,MeanValue
2000-01-31,78660,181767.2023
2000-01-31,78745,150940.3735
2000-01-31,78753,131584.0805
2000-01-31,78704,205942.7968
2000-01-31,78758,133845.6667
2000-01-31,78748,183518.5696
2000-01-31,78744,102821.3413
2000-01-31,78741,132472.2273
2000-01-31,78759,287230.1647
2000-01-31,78653,150331.152
2000-01-31,78723,136326.8533
2000-01-31,78749,281437.3487
2000-01-31,78750,266395.8054
2000-01-31,78754,170905.4898
2000-01-31,78727,190656.7445
2000-01-31,78746,516861.8426
2000-01-31,78705,208394.2732
2000-01-31,78738,352511.7343
2000-01-31,78724,102592.3208
2000-01-31,78728,194022.9129
2000-01-31,78617,133931.3134
2000-01-31,78731,375508.2739
2000-01-31,78752,114018.4503
2000-01-31,78703,468162.0834
2000-01-31,78734,264011.9065
2000-01-31,78739,368529.3834
2000-01-31,78735,360505.1779
2000-01-31,78747,187883.1168
2000-01-31,78732,396697.4209
2000-01-31,78645,176673.6776
2000-01-31,78726,308618.681
2000-01-31,78730,470446.0693
2000-01-31,78733,419605.2586
2000-01-31,78721,106631.9511
2000-01-31,78756,273928.2551
2000-01-31,78736,197949.4423
2000-01-31,78652,189363.9196
2000-01-31,78669,237503.1178
2000-01-31,78725,104794.4255
2000-01-31,78719,121263.8279
2000-02-29,78660,182123.9982
2000-02-29,78745,150807.6289
2000-02-29,78753,131914.4237
2000-02-29,78704,208839.848
2000-02-29,78758,134270.6386
2000-02-29,78748,183994.5261
2000-02-29,78744,103233.3679
2000-02-29,78741,133419.2875
2000-02-29,78759,288323.7486
2000-02-29,78653,151206.927
2000-02-29,78723,137957.8305
2000-02-29,78749,280936.8971
2000-02-29,78750,266406.6664
2000-02-29,78754,171113.1162
2000-02-29,78727,191314.7342
2000-02-29,78746,519943.4455
2000-02-29,78705,209634.1586
2000-02-29,78738,353175.5816
2000-02-29,78724,102563.827
2000-02-29,78728,194340.8673
2000-02-29,78617,134553.1182
2000-02-29,78731,376247.4908
2000-02-29,78752,116676.9425
2000-02-29,78703,468354.8105
2000-02-29,78734,264174.6224
2000-02-29,78739,369418.8002
2000-02-29,78735,360778.3473
2000-02-29,78747,188153.3292
2000-02-29,78732,397131.1549
2000-02-29,78645,176958.8386
2000-02-29,78726,309121.0933
2000-02-29,78730,470152.1713
2000-02-29,78733,419453.6813
2000-02-29,78721,107175.5759
2000-02-29,78756,279345.6469
2000-02-29,78736,197666.1365
2000-02-29,78652,189699.2107
2000-02-29,78669,238270.2065
2000-02-29,78725,105340.2552
2000-02-29,78719,121725.3262
2000-03-31,78660,182304.9761
2000-03-31,78745,151701.4028
2000-03-31,78753,132106.5783
2000-03-31,78704,212063.3028
2000-03-31,78758,134735.3122
2000-03-31,78748,184808.1796
2000-03-31,78744,103683.8704
2000-03-31,78741,133860.5364
2000-03-31,78759,290042.2536
2000-03-31,78653,152193.7425
2000-03-31,78723,141360.2403
2000-03-31,78749,280413.1236
2000-03-31,78750,267767.0451
2000-03-31,78754,171098.7143
2000-03-31,78727,192366.8898
2000-03-31,78746,524461.3818
2000-03-31,78705,210166.6494
2000-03-31,78738,353523.6005
2000-03-31,78724,102666.4473
2000-03-31,78728,194620.5465
2000-03-31,78617,134903.8935
2000-03-31,78731,378071.4334
2000-03-31,78752,119302.2115
2000-03-31,78703,466862.4213
2000-03-31,78734,264553.963
2000-03-31,78739,369902.234
2000-03-31,78735,360845.0307
2000-03-31,78747,189106.7592
2000-03-31,78732,397743.9937
2000-03-31,78645,177162.9542
2000-03-31,78726,309660.8575
2000-03-31,78730,470986.8316
2000-03-31,78733,420027.6755
2000-03-31,78721,108691.7411
2000-03-31,78756,281030.9287
2000-03-31,78736,198386.3548
2000-03-31,78652,190471.5066
2000-03-31,78669,238715.1693
2000-03-31,78725,105902.2874
2000-03-31,78719,121766.4108
2000-04-30,78660,182767.3694
2000-04-30,78745,152549.5253
2000-04-30,78753,132684.7542
2000-04-30,78704,215682.369
2000-04-30,78758,135752.7894
2000-04-30,78748,186215.8356
2000-04-30,78744,104378.6225
2000-04-30,78741,134317.8888
2000-04-30,78759,292496.5021
2000-04-30,78653,154718.8947
2000-04-30,78723,144517.9833
2000-04-30,78749,279542.1661
2000-04-30,78750,269143.5797
2000-04-30,78754,171443.3892
2000-04-30,78727,193641.7454
2000-04-30,78746,532372.21
2000-04-30,78705,211119.3052
2000-04-30,78738,354741.7366
2000-04-30,78724,102613.2924
2000-04-30,78728,195185.1021
2000-04-30,78617,135782.4147
2000-04-30,78731,381390.7332
2000-04-30,78752,123082.0763
2000-04-30,78703,469520.2488
2000-04-30,78734,266057.756
2000-04-30,78739,371153.8091
2000-04-30,78735,362472.696
2000-04-30,78747,190605.0253
2000-04-30,78732,399306.1007
2000-04-30,78645,177542.0348
2000-04-30,78726,309970.8883
2000-04-30,78730,472925.9843
2000-04-30,78733,421531.2117
2000-04-30,78721,111886.1168
2000-04-30,78756,285519.0026
2000-04-30,78736,199004.5871
2000-04-30,78652,192001.6136
2000-04-30,78669,239523.6619
2000-04-30,78725,106937.1345
2000-04-30,78719,122338.0903
2000-05-31,78660,183171.9839
2000-05-31,78745,153079.0444
2000-05-31,78753,133245.2397
2000-05-31,78704,218905.1869
2000-05-31,78758,136625.1015
2000-05-31,78748,187625.7256
2000-05-31,78744,104997.8386
2000-05-31,78741,134119.7204
2000-05-31,78759,294340.8255
2000-05-31,78653,156770.593
2000-05-31,78723,147254.5543
2000-05-31,78749,278738.8016
2000-05-31,78750,270044.9822
2000-05-31,78754,171965.8084
